texto_review,sentimento
Não machuca  e tira bastante leite. Só é um pouco difícil de montar no começo.,Neutro
"A coifa é linda,porém ela veio com o touch scren com problema,ele liga sozinho,terei que trocar a mercadoria.",Neutro
"Aparentemente parece bom aparelho, vamos ver na prática no passar do tempo",Neutro
"O produto é bem legal, vem muito bem embalado e protegido. As Lojas Americanas estão de parabéns pela agilidade na entrega. A FAM DVD MOVIE está de parabéns pelo cuidado ao embalar o produto para o envio á transportadora. O único senão que tenho do produto, foi que o produto veio com duas pilhas AA já instaladas ao invés de virem numa embalagem separada. O que aconteceu foi q as pilhas estavam vazadas dentro do produto e o material quimico corroeu o cromo das molas do compartimento. Por sorte, o material q vazou das pilhas não estragou outras partes do compartimento e foi possível ligar o ovo com pilhas novas após limpeza. Quase que o Ovo chega defeituoso.",Neutro
"muito bom produto para iniciantes, principalmente crianças devido ao pequeno porte do mesmo",Neutro
"gostei muito do produto, tem tudo o que necessito!",Positivo
"Tive problema c a fonte do equipamento q veio c defeito. A empresa substitui a fonte, mas tive q enviar p eles via Sedex e ainda não fui reembolsado. Foi uma despesa a mais q tive. Normalmente qdo isso acontece a Americanas nos manda uma autorização de postagem o q não aconteceu por parte da empresa. Desta forma não tenho interesse em comprar mais qdo se tratar de parceiro e não direto da Americanas. Obrigado.",Neutro
"nao posso  falar ainda se o guarda roupa e ruim  pq  ja tem 2 meses q era pra eloe ter chegado  e ate agora  nada, essa foi minha experiencia com a loja e nao foi  uma das boas nem frete  eles queren devolver  pelo  atraso.",Negativo
"Achei meio fraco dependendo do uso nao vai aguentar, alem de pequeno a lamina, vai precisar de mais tempo para aparar ou cortar o cabelo ou barba. Vou usar se caso for superior mudo minha avaliação.",Neutro
"O produto é bom, só uma pena a câmera não ter o modo PRO (controles manuais) para foto. Mais num todo,está dentro das especificações mostradas no site.",Neutro
Produto muito bom.  Adorei! Eu recomendo pra vc que adora fazer pão  Doces e precisa calcular o peso. Vc não vai errar a receita porque esse produto vai te ajudar muito.,Positivo
Comprei o mixer Mallory Trikxerinox o produto chegou dentro do prazo porém veio faltando uma peça na caixa vem um número e um e-mail pra entrar em contato porem quando entro em contato o número não atende e o e-mail fala que não existe o produto esta parado .... péssimo atendimento,Negativo
"O produto em geral tem uma boa qualidade. Martelo, chave para bits, bits, chave catraca e soquetes feitos em material bem resistente. Trena e estilete de qualidade baixa. As chaves de precisão de bom material. Para uso doméstico é ideal.",Neutro
Comprei o produto conforme anuncio e me enviaram outro totalmente diferente.  Estou tentando entrar em contato para efetuar a troca.,Negativo
"Produto possui um cheiro estranho nos primeiros dias, mas já está quase imperceptível. Eu estava em dúvida entre um colchão normal ou ortopédico, diria que esse ficou no meio do caminho, muito firme, mas bem agradável. Além disso, preço ótimo e entrega rápida...",Positivo
"Pra começar, veio o cpu diferente do que eu pedi, não funciona, ele liga tudo certo mas não da vídeo, não da nem sinal no monitor, tentei com todos os cabos e monitores e não deu. E também não veio com placa de vídeo como promete no anúncio... Placa de vídeo ATI 512mb",Negativo
Eu amei o produto! é o atendimento de vocês e a agilidade da entrega obrigado.,Positivo
Este produto é muito bom e recomendo a outros  E veio tudo ok,Positivo
"Desde a primeira vez que liguei o notebook, do jeito que ele veio de fábrica mesmo ele já era lento. Liguei diversas vezes para a assistência técnica da Samsung e só me mandam resetar ao padrão de fábrica (já resetei 5x). Depois de ligar o notebook, para conseguir executar uma ação simples, como abrir o windows explorer, são quase 2 minutos. A última coisa que este notebook tem, é alto desempenho!",Negativo
"comprei o produto de 500ml e veio pote de 250ml e não sei se realmente é da loreal, a embalagem parece falsa. ************************************************************************************************************************************************************************************************************************************************************************************************************",Negativo
"Excelente produto, rápido , ótimo acabamento e silencioso.",Positivo
"Produto chegou antes do prazo, atende as minhas necessidades.",Positivo
"Estou indignada ao ver este produto... Pelo amor de Deus não comprem isso para suas calopsitas, pobrezinhas, elas não são bichinhos para vestir roupinhas, etc... Na minha opinião o site deveria retirar este anúncio!",Negativo
Fui enganada me mandaram produto de valor inferior. Total falta de compromisso. Me admira uma rede como a Americanas trabalhar em conjunto com empresas tão descomprometidas.,Negativo
"GOSTEI MUITO, PRA MIM TA SENDO UM ÓTIMA EXPERIENCIA COM O MOTO X4.",Positivo
"Imprimi 5 páginas e apareceu informação na na impressora que o toner estava no fim, fica fazendo a impressora dar pau toda hora tem que tirar ele e colocar novamente já pedi o estorno do que gastei e não tive nenhuma resposta",Negativo
"Vocês realmente estão dê palhaçada!  Eu comprei o jogo 7/05 logo no dia seguinte já foi autorizado o pagamento, mas faz extamente 4 dias úteis que vocês estão emitindo a nota fiscal, sério que falta de consideração com Deus cliente americanas! Já fiz muitas compras nesse site, mas nunca mais vou comprar! Vocês precisam procurar o que significa pré-venda, porque realmente parece que não sabem!  Obrigado por satisfazer seus clientes!",Negativo
recebi um produto nas condições e com a qualidade que esperava.,Positivo
Entrega ATRASADA!!!!!!!!#!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,Negativo
"Chegou rápido, mas como o meu desempenho em 3D é pequeno, vou continuar utilizando o filamento ABS nas minhas futuras impressões.",Neutro
depois que Americanas terceirizou suas vendas  a qualidade caiu muito comprei esse telefone no dia16/01 ate hoje não recebi. era bom agora esta pessimo,Negativo
"Instalei na minha saveiro ta dando 180 km por hora na primeira marcha, fique até com medo de por segunda.",Neutro
"Como pode uma empresa tão conceituada e grande, que pega a descrição de um produto e visivelmente joga non google tradutor e não se da ao trabalho de arrumar?  um pouco mais de dedicação seria de bom tom.",Neutro
Produto não muito resistente. Manual de montagem péssimo.,Negativo
"O produto veio com algumas paginas com defeito de impressão, da para ler .",Neutro
"o produto chegou muito rápido, bem antes do combinado, recomenda a todos, empresa com atendimento ao cliente nota 10",Positivo
"Chegou com 1 semana de antecedência!!! Dei de presente para a minha mãe, ela acordou, mais bonito pessoalmente.",Positivo
Pela primeira vez fiquei triste com uma compra com vcs. Veio faltando a lixa!,Neutro
"Péssimo. Comprei desde o dia 4/12 e ate agora nem mesmo a nota fiscal eletrônica foi emitida. Estou achando que cai num golpe. Quero meu dinheiro de volta.Absurdo a lojas Americanas permitir que esses sites sem credibilidades usem seu espaço para vendas. Estou extremamente chateada, pois nem mesmo uma ligação ou e-mail eu recebi para me esclarecerem o q esta ocorrendo com minha compra. Irei para justiça.",Negativo
"Não posso nem  avaliar o produto, pois comprei em dezembro e ainda não recebi o produto, ele não me dão nenhuma solução !",Negativo
Produto adquirido com voltagem errada e ao tentar a troca a empresa não retorna o contato. Mais de 30 dias tentando contato.,Negativo
"ME SENTI ENGANADO E ESTOU MUITO REVOLTADO, NÃO TEM O PORQUE ENGANAR O CLIENTE DESTA FORMA, POW SE O PENTE É DE MADEIRA TUDO BEM, MAS DE PAPELÃO É MUITA SACANAGEM, PELA SEGURANÇA QUE A LOJA TRANSMITE ISTO É UM FIASCO., ESTOU DESACREDITADO",Negativo
"PANELAS TAMANHO MEDIO,PARA COZINHAR POUCA COMIDA É SUCESSO, A PRINCIPIO A COMIDA NÃO ESTA GRUDANDO E FACIL PARA ARIAR,POREM MATERIAL UM POUCO SIMPLES, PANELAS BEM LEVES ,BASICO PARA O DIA A DIA,MAS NÃO APARENTA SER UM MATERIAL COM LONGA DURABILIDADE,",Neutro
"O produto me atendeu plenamente. Fiquei satisfeita e o produto chegou dentro do prazo    acordado. As cores são neutras e ficaram bem no sofá. tem local para colocaçao de controle de TV que facilitam no dia a dia,",Neutro
"Ainda não li, mas a curiosidade em ver o outro lado da moeda é grande (risos).",Neutro
"Produto bom. Entrega nota 10. A única coisa que não gostei foi de não bater poucas claras, meus bolos tem de 3 a 4 claras, e não bate claras em neve nessa quantidade, necessitando usar a batedeira antiguíssima Philips Walita . T",Positivo
"Produto chegou dentro do prazo, amei minha prancha, esquenta bem e alisa Mt. Só não veio na cor que pedi.",Positivo
"Conheço o produto por indicação de terceiros. Mas ainda não recebi o meu. Já tem mais de um mês a compra. Estou aguardando, pois nem a nota fiscal foi emitida ainda.",Neutro
"Poderia ser um pouco mais grosso, mesmo assim gostei bastante.",Neutro
Ele trava de vez em quando.  O teclado também é ruim. Vc tecla numa letra sai outrs,Neutro
Excelente aparelho. Não trava. É bonito. A bateria dura muito tempo.,Positivo
Depois de 4 meses de uso o carregador não funcionou mais... Solicitei a garantia de 12 meses com a Mymax e Não tomaram conta do assunto.,Negativo
"O freio e os pedais não são tão bons, mas ela é leve e funciona muito bem. O amortecimento é ótimo!",Positivo
"Está sendo entregue pelos correios e ainda não chegou e o prazo de entrega é até hoje. Péssimo, a loja já foi excelente, não posso avaliar o produto pois não chegou",Negativo
"É muito bom leve e fácil de usar moderno,além disso chegou muito rápido a Americanas está de parabéns em ralação de produtos vendido por ela mesmo.",Neutro
Comprei o boneco antes do natal veio com o braço solto pedi para trocarem fez 3 semanas e nada,Negativo
"Produto bem embalado e chegou antes do prazo, totalmente satisfeita com esse produto da Samsung",Negativo
"Sem dúvidas a melhor loja virtual que conheço, super recomendo, parabéns a família Americanas.",Positivo
"Recebi a mercadoria hoje, dentro do prazo de entrega, porém o Shake que solicitei no sabor CHOCOLATE veio de morango, que eu odeio!",Neutro
"Produto muito bom,recomendaria a outras pessoas...",Neutro
São idênticas às da foto bonitas Gostei muito e chegou antes da data combinada,Neutro
"Adoraria dar uma avaliação positiva, quanto a Torneira Com Filtro Cozinha Parede Gourmet Jr. Mas infelizmente não posso, pois me entregaram o produto errado. Ao invés de receber a gourmet jr, recebi uma outra que provavelmente custa menos da metade do preço. Por isso escrevo aqui, não para avaliar, e sim pra mais uma vez deixar a minha insatisfação registrada!!! Obrigada",Negativo
"Até hoje não recebi o produto, está parado em transporte desde dia 28/02 e já é dia 18/03, sendo que era pra chegar dia 05/03. Só me enrolam, ninguém passa uma informação correta, só falam que tem que aguardar. Sinceramente nunca tive problemas em comprar aqui, mas essa compra está me dando dor de cabeça. Então infelizmente não pode dar nenhuma estrela, não até o momento pelo menos.",Negativo
Não faz gelo. Sequer a água desde do reservatório até o freezer onde fica a forma de fazer gelo. De resto a geladeira é boa,Negativo
"Estou realmente decepcionada tanto com as Lojas Americanas , quanto com esta empresa parceira MERCADO BRAZUCA, pois realizei minha compra desde o dia 22/02/2018, e até hj nao recebi, o status nao atualiza, não me enviaram a nota fiscal eletronica, e não ha previsao de entrega!!! sem contar que esta tal empresa BRAZUCA não possui atendimento, não possui referencia alguma. Fikem atentos para não cairem na mesma situação que eu e o consumidor q avaliou logo abaixo.",Negativo
"Otimo produto, veio bem acondicionado. Optei em comprar dessa marca, pois já possuo um outro hd da Seagate, que até o presente momento não tive nenhum problema.",Positivo
comprei para presentar meus filhos. adoraram o produto,Positivo
"Fogão de ótima qualidade. Tanto nas bocas como no forno, as chamas são bem altas.",Positivo
"Não gostei do produto, faz muito barulho. Não recomendo.",Negativo
Gostei muito ! Atendeu as minhas expectativas . Produto bom preço ótimo,Positivo
recomendo a todos que comprarem pois sera uma excelente aquisição,Positivo
"O meu veio com avarias riscos e ja faiz mais de 20 dias q efetuei a troca e to esperando o estorno,ate o presente momento nao tenho nenhuma resposta da devoluçao td vez q ligo pro sac eles fala q vai retorna e fico no aguardo vamos ver ate aonde vai.",Negativo
"TODAS AS MINHAS AMIGAS E PARENTES TEM O J5, TODAS GOSTAM , POREM O MEU ESTA ESQUENTANDO E A BATERIA COM POUCA DURAÇÃO.",Negativo
"Parou de funcionar com pouco tempo de uso, não consigo achar a nota para trocar, um pesadelo de compra",Negativo
"São 10 cuecas, sendo 4 Lupo e outras diversas.  Se não fosse o fato das diversas serem de tamanhos diferentes da Lupo, por pura falta de padronização, até ficaria mais satisfeito. Não vale o investimento, enganação.",Negativo
"Vale a pena pelo custo beneficio . o alto falante e' baixo, câmera e' de regular , para as demais função e' muito bom e bem rápido",Neutro
Não foi bom já foi pago a primeira parcela e o erro da entrega fez com que cancelacem meu produto meu filho está esperando desdo dia 22,Negativo
"Não recomendo por causa da entrega, processo de entrega muito lento.",Negativo
Tudo dentro do esperado. Compra fácil e segura como sempre.,Positivo
"A capinha é meio grossinha, boa no caso desse celular pois ele é muito frágil e escorregadio. Quanto à pelicula eu ainda nao a instalei.",Neutro
Algumas teclas do Smart Pad vieram com defeito e não funcionam.,Negativo
"Adorei o atendimento foram muito atenciosos,produto de ótima qualidade,entrega rápida! Gostei muito obrigada a todos",Positivo
"O produto veio errado, comprei cafeteria na cor preta , recebi alumínio....fiquei frustrada.",Neutro
"adorei o tapete,chegou  antes do prazo,tudo perfeito",Positivo
"Cumpre o que promete, recomendo este produto. Gostei muito do produto",Positivo
EU COMPREI A CANETA PRETA. VEIO ERRADA.. NÃO FEZ AFEITO NENHUM,Negativo
"Os produtos não são originais, porém, satisfazem a necessidade doméstica.",Neutro
"Maravilhoso, material de primeira qualidade fiquei muito satisfeito com tudo tão de parabéns.",Positivo
Para quem procura uma placa top de linha para excelente performance,Positivo
"Até agora não tenho o que reclamar, venho em perfeito estado e funciona bem.",Neutro
"GOSTEI DO PRODUTO, OTIMA QUALIDADE., CHEGOU SUPER RÁPIDO.",Positivo
E um jogo que trava muito. Não gostei me enganei nunca mais compro fifa,Negativo
"Esse é o primeiro martelo forjado para o filho de Odin. Como ficou muito forte, teve medo em dar a Thor, por isso envio a terra para ser vendido na americanas.",Positivo
"Gostei de tudo Atendimento, preço, entrega. Recomendo.",Positivo
"Na caixa fala que a bateria dura 2 à 3 horas. Porém dois skates que pedi acaba com 1 hora de uso, pedi os skates com kit que vinha a bolsa para carregar que só veio em 1 skate. Tirando isso recomendo!",Neutro
"Produto é bom, porém veio com defeito. Tenho outro igual, só que mais velho, mas até hoje é silencioso, sendo que o novo veio fazendo barulho como se estivesse vazando água por dentro",Neutro
"Melhor câmera já feita l, excelente produto, chegou muito rápido",Positivo
"A entrega do produto no prazo, mas o produto de péssima qualidade, não ventila nada. Ele ligado e desligado dá na mesma.",Negativo
"É difícil descrever em palavras, mas este Single Malt é um verdadeiro achado. Paladar rebuscado e ao mesmo tempo de simples apreciação. Um dos melhores que já experimentei.",Positivo
"O kit é minúsculo. Parece de boneca. A entrega da americanas é excelente. Rapida demais, mas o produto não era do tamanho q esperava. Vou devolver!",Negativo
"Qual o comprimento do fio, poucas informações no site, passa a ficha completa dele por favor?",Neutro
"Atá agora, apesar das sucessivas reclamações NÂO RECEBI O PRODUTO, sendo assim não tenho condições de fazer a avaliação.  Todavia com relação com prazo de entrega e ao atendimento  minha avaliação é :                    Serviço de comunicação e entrega de,PESSIMA QUALIDADE.  a ENTREGA ESTAVA PROMETIDA PARA 5 a 8 DIAS E JA SE  PASSOU MAIS DE 1 MES E NÃO RECEBI A MERCADORIA.  vIRGILIO",Negativo
"Muito linda perfeita minha sobrinha amou,excelente material e boa qualidade super recomendo.Atendimento maravilhoso",Positivo
"Perfeita para quem gosta de café fresco. Faz só o suficiente, sem desperdício. Siga as medidas de pó e água conforme o manual de instruções que não tem erro.",Positivo
Não posso opinar o meu microondas veio com defeito sem mais,Negativo
Trata-se de mais um bom produto da gigabyte para processador da marca Intel.,Neutro
"Celular muito bom, atendeu as expectativas, ótima compra. Recomendo",Neutro
Em virtude da falta de leitor de CD o notebook fica limitado ..,Neutro
"Muito bem acabado, peça para compor um look sensacional.",Positivo
"Produto bom para minha vó, mas a entrega passou do prazo, fiquei decepcionado com isso",Negativo
"Ainda não utilizei o produto, mas a princípio me parece de boa qualidade.  Veio bem embalado e a entrega foi rápida. Não ultrapassou a previsão, mas também não chegou antes.",Neutro
"Já abri uma reclamação, pois comprei dois itens deste produto, e só veio um, e ainda veio com defeito, o som e a luz não funciona... Tem q trocar esse e receber o outro, pois como disse comprei e paguei dois Bonecos Hulk. Espero retorno.",Negativo
"Recomendo este modelo de ferro de passar, me surpreendeu... atendeu a todas as expectativas....",Neutro
"O teclado é bom.  Nesta peça que recebi, somente a tecla de espaço, que as vezes quando digitamos dá um duplo espaço.  Poderia ser mais silencioso na digitação das teclas.",Neutro
"Na primeira tentativa de entrega, não possuía ninguém  na casa, e os entregadores deixaram o produto em um vizinho. Primeiro que o produto era pra ser entregue na casa de meus pais, que são idosos, não tem condição físicas de carregarem um produto. Logo foi necessário contratar alguém para buscar. Segundo, se o vizinho agisse de ma fe...e  roubasse o produto quem iria sair perdendo? Muita falta de respeito Endereço de entrega existe para ser respeitado",Negativo
"Sempre tenho problemas com a entrega. Comprei em dezembro e ainda não recebi, porem no site consta como entregue. Não recomendo o site, mas recomendo o produto.",Negativo
"Nao conseguir especificar o tamanho que quero, Quero o tamanho 15,6 ou maior! Obrigada!",Neutro
atende a minha necessidade e auxilia na hora de fazer a refeição,Positivo
"Bom produto prático, seguro. Poderia vir com mais pás....",Neutro
"O produto é  bom, mas entendo que de alguma maneira a fábrica deve colocar vedantes de barulho. As fábricas deviam pensar também no armazenamento do aspirador, trocando as caixas por materiais mais resistentes.",Neutro
Gostei muito do processador e comprei para presentear.,Positivo
Ótimo trabalho das Américas virtual.....mercadoria top.....sem nenhuma reclamação a fazer......obrigado americanas,Positivo
"Não é o da foto. É mais frágil. A velocidade do PC para ele e do 2.0, lento demais. Agora dele para o PC é um foguete. Único ponto positivo do produto. Além disso a alcunha para chaveiro atrapalha o uso da porta USB. Tem que retirar algum periférico do notebook.",Negativo
nunca chega faz um mês que estou esperando com a moto parada e não posso fazer nada. D desculpas o inferno ta cheio eu quero meus pneus.,Neutro
Produto ótimo e muito prático. Atendeu nossas expectativas!,Positivo
"Extremamente decepcionado com o serviço. Após 30 dias da compra, no dia previsto para a entrega houve o cancelamento da mesmo por suposta indisponibilidade do produto.",Negativo
"Ótima balança , pequena e prática , recomendo. Entrega super rápida , parabéns a empresa  pela agilidade.",Positivo
Meu produto veio quebrado nao consigo entra em contato com o vendedor estou muito chateada e amanha vou no procom,Negativo
Produto chegou em ótimo estado e dentro do prazo. Obrigado as lojas Americanas.,Neutro
O produto protege o visor do relógio sem diminuir a sensibilidade da tela.,Positivo
"Comprei e a assistência técnica é péssima, simplesmente não atendem. NF 1083947. Fontaine e Americanas não se envolvem. Saiam desse problema.",Negativo
Meu filho amou a bike nova só me enganei pelo tamanho tinha que ser um pouco maior,Neutro
"Propaganda enganosa! Veio com vários defeitos , não recomendo, muito pequeno não é o q consta nas fotos de propaganda!! Decepcionada com a compra!",Negativo
"Descrição fala que é 100% algodão mais não é, material  parece capa para coxão e não lençol. não recomendo",Negativo
É uma caligrafia mais contextualizada. Em vez de copia só palavras soltas as frases completas  é mais realista e menos chato.,Neutro
"Produto muito bom,como eu esperava.e parabéns para americanas,muito pontual.",Neutro
Quero receber meu dinheiro de volta! Como faço para devolver? Ainda esta na garantia!,Negativo
"Comprei o produto na intenção de presentear uma prima de 5 anos. Para esse fim, o produto é ótimo (com exceção da memória), agora.. se alguém quiser adquirir este produto para uso próprio, recomendo que dê uma olhada em outras opções até mais antigas (como exemplo o moto g primeira geração, que ainda se sai muito melhor que este celular)",Negativo
ainda não recebi o produto- já completou 30 dias do pedido  e ele ainda não chegou.,Negativo
É bom. Foram dentro das minha expectativas para este aparelho!,Neutro
"O produto é prático, e faz tudo que promete. Surpreendeu.",Positivo
"Comprei e ate hj nao chegou , porque os entregadores ficam la em baixo no prédio e nao sobem para me entrega no meu apartamento . Estou idiguinada.",Negativo
"Sou cliente da loja Americanas e sempre dou preferência na compra dos meus produtos.Sempre de qualidade e entrega no pra, mas infelizmente esse perfume é FALSIFICADO.FIXAÇÃO PÉSSIMA.Basta ver a setinha para à esquerda no fundo da embalagem, e a embalagem sem fixação interna do produto, e mole.Isso são ferramentas utilizadas por falsificadores e só quem entende de perfume sabe.",Negativo
Esse produto eh muito bom e bonito fiquei muito feliz em adquiri-lo. Fiquei Realmente muito satisfeita. Amei de verdade. Obrigada.,Positivo
"Não recomendo, o sistema é muito lento, leva mil anos pra abrir qualquer coisas",Negativo
"Qualidade do tecido ruim e os rolinhos ficam soltos, não possuem laços para amarrarem-se entre si e no berço.",Negativo
"O cartão de memória vem com capacidade de 29,7gb não 32gb como consta no anúncio. É pouca diferença mas não corresponde ao anunciado",Negativo
"Muito bom, material resistente, mas acho que não deveria ter furos para escoar água, acho desnecessário e tive que tapar.",Neutro
"Não sei se foi falta de cuidado da minha parte ou falta de informação no anúncio do produto. Comprei bateria para nobreak's, porém veio escrito nas baterias que não podem serem usadas em nobreak's. Fica a dica para antes de efetuarem a compras,  observar esse detalhe.",Neutro
Só tem um porém eu comprei ela tamanho M mas ela veio parecendo que era uma GG mas na etiqueta a numeração era M acho que um erro de fábrica mas o produto é essa lente um pano de qualidade gostei muito,Neutro
"O produto chegou antes do prazo (como isso é bom!) e além disso, ele em si, satisfez completamente minhas expectativas.   Recomendo muito!   Não vejo a hora de poder comprar mais desses.",Positivo
"Nem coloquei no colchão, achei ruim, parece um lençol de elástico descartável",Negativo
"O produto veio trocado. Fiz o pedido deste da imagem ilustrada e veio um do frasco vermelho.  Fiquei com o produto por necessidade do mesmo.  Mas acho uma falta de respeito enganar o comprador com imagens diferentes.  Produto é bom, mas vendedor ruim.",Negativo
"Achei bonitas, cores são vermelho, azul e verde e quando está rápido fica branco. O preço é bom, mas, o anúncio é um tanto enganoso à respeito da dureza, minha roda 82a é aparentimente mais dura (ela deve ser em torno de 79a ou 80a. Ainda que se avise que não se deve andar no asfalto no anúncio, os números de dureza não é algo relativo dessa forma. E ainda que o preço seja bom e eu tenha gostado do produto gostaria de saber o que realmente estou comprando. Quanto a entrega, foi muito mais vantajoso que uma compra pelo ML por exemplo, meu produto chegou antes do praso.",Neutro
"Gostei muito, funcionando perfeitamente, e o produto chegou dentro do prazo previsto.",Positivo
"Completamente decepcionado com o produto. Produto de péssima qualidade. Num kit com 8 cuecas tamanho P, não tem duas como o mesmo tamanho. Peças P com molde de tamanho M e até G. Modelagem completamente desproporcionais. Algumas inclusive com pequenos defeitos.   Nunca vi produtos da marca Zorba com qualidade tão baixa. Dá até para desconfiar de que não são originais. Porém, mesmo que sejam ponta de estoque, o anúncio deveria informar adequadamente.",Negativo
"Não mantém a temperatura nem 2hrs e capacidade é de no máximo 800ml.  Quando  produto chegou pensei que a caixa estava vazia, imaginei que era um trote rsrs!  Já solicitei a devolução!!!",Negativo
"Asus nunca mais, comprei um Zenfone 2 deluxe achando que e como as placas-mães, mais deu 1 ano  tela ta dando um bug q trava e congela e faz um efeito cortina, e vi varios iguais ao meu com o mesmo problema. Que porcaria de celular",Negativo
EU SEMPRE COMPREI LG MAIS GOSTE DO PRODUTO DA PHILCO EU RECOMENDARIA A COMPRA PARA OUTRA PESSOA.,Positivo
Americanas solicitando avaliação de produto que não foi entregue? Mega insatisfeita e decepcionada.,Negativo
EM USO POR ENQUANTO RESPONDENDO AS ESPECTATIVAS  TEMOS UM PRAZO PRA USO  PELO MOMENTO SATISFATORIO,Positivo
"Esse monitor não tenho nada a contestar, bonito e ótima qualidade, 1ms, gsync, 144hz, pena que o preço em padrões BR é salgado!",Positivo
"Ambas vieram com o ""suspiro"" vedado, o que impossibilita o uso... Mas depois de alguns testes, usei um arame e abri o suspiro. Ficou ótima! Ainda tem certa resistência, mas nada que atrapalhe muito!",Positivo
Super recomendo produto excelente e de ótima qualidade nota 1000 mto obrigda.....,Positivo
USEI  A PRIMEIRA VEZ E OS BOTOES CAIRAM TODOS. NAO RECOMENDO DE FORMA ALGUMA,Negativo
"Produto Bom  1 cadeira foi enviada com furação errada,   8 parafusos curtos",Neutro
"Produto atendeu minha expectativa,super indico,a única coisa que poderia melhorar é o tamanho da tigela pois achei um pouco pequena mas fora isso é muito boa!",Neutro
"Vinho muito bom, acompanhou muito bem com peixes e frutos do mar! Recomendo a loja!",Positivo
Esse produto é excelente. Além de ser um produto de ótima qualidade é bastante eficiente.,Positivo
Poderia ser melhor recortado para não ficar um Quadrado colado no Carro. Mas gostei sim.,Neutro
"Péssimo péssimo péssimo, compro na americanas direto e não ganho meus cupons. Lixo lixo lixo, não indico vocês pra ninguém",Positivo
"A pensar de ter demorado bastante, ainda tive que retirar nos correios, é um produto bom, não conheço  a qualidade dos originais, más é um bom produto, meu filho gostou bastante.",Neutro
Além da entrega que sempre antecede o prazo.  O carrinho é super confortável é fácil de montar.,Positivo
"Produto atendeu minhas expectativas, chegou super rápido, bem  antes do prazo.",Positivo
"Carregamento muito rápido, como se estivesse numa tomada normal. Amei!",Positivo
"Eu ainda não comprei o produto, mas estou pensando em comprar, mas estou com uma dúvida, o teclado desse notebook é padrão ""ABNT2"" ( o teclado brasileiro com ""Ç"" ""~"" e etc... ) ?",Neutro
Cara isso é a pior coisa q já comprei muito ruim eles têm coragem de escreve Automático isso é manual pra mim por favor tirem isso de linha tô jogando fora o meu !!!,Negativo
"O produto é razoável, somente a base é muito fraca, comprei para meu filho que pesa 82 kg, quebrou no primeiro uso. Favor informar na descrição do produto que a base não é de aço e somente para pessoas de até 40 KG.",Negativo
Cumpre o papel esperado! Manual pouco explicativo no que tange a montagem dos pés.,Neutro
"Bom dia, no anuncio  do produto diz que viria uma bolsa e ela não veio.",Neutro
"Eu recebi o produto, depois que coloquei a película e comecei a usar notei que a função de voltar está com problema..as vezes ela trava..solicitei a troca estou aguardando...",Negativo
"Excelente produto. COMPRA efetivada pelo site das lojas americanas, atendimento perfeito, encomenda chegou rápido. Agradeço o atendimento",Positivo
"Bol muito pequeno Para que o batedor pegue no fundo para bater massa, tem que levantar o bol, senão fica o fundo sem bater. Boa velocidade.",Neutro
produto muito bom e atendeu minhas necessidades. Recomendo a todos esse produto.,Positivo
"Ótimo produto !!!! Chegou bem embalado, recomendo.",Positivo
"Muito bom, meu amigo está muito satisfeito. Eu também achei o produto ótimo, e vou recomendar com certeza.",Positivo
"Eficiente, prático e leve no manuseio. Uso sempre e tenho resultados bacanas.",Positivo
"Produto chegou antes do prazo, produto chegou rápido, produto lacrado novo.",Positivo
"Após uma semana de uso, não tem nada que desabone esse produto. Preço justo por um um liquidificador que não deixa nada a desejar, se comparado as outra marcas com valores maiores e em qualidade comparado as marcas de custo menor.",Neutro
"Produto bem delicado, fofo e de boa qualidade. Pelas fotos do anúncio da impressão que são xícaras maiores.",Positivo
Vamos ver a durabilidade pois já comprei outras lâmpadas de led que era bela viola por fora mas por dentro pão bolorento,Neutro
"instalei no meu computador, e só aparece o som, imagem nada, o parceiro não deu importância",Negativo
"Achei interessante o produto pelo seu design e pelo fato de ser de montar. Ele atende as funções a que se propõe e é bonito. Mas, acho que não compraria novamente pois não achei que entrega tanto pelo valor pago.",Neutro
"E um celular MT bonito, bateria excelente, foto MT boa . Tela excelente. Vale apena compra e.",Positivo
"Eu cancelei a compra na mesma tarde. E alem de me cobrarem na fatura, ficam insistindo em avaliar um produto que não quero.",Negativo
"Pequena e fraca, mas pelo preço não podia ser diferente. Não dura muito.",Neutro
"Bike muito boa e com um ar bem moderno, recomendo !!!",Positivo
"A comoda é muito pequena, parece um criado mudo. Comprei para presentear minha irmã e passei vergonha. Não recomendo.Vou ter que comprar uma comoda descente para reverter a situação. NÃO RECOMENDO.",Negativo
gostei muito do produto muito bom eu indicava este produto para outras  pessoa,Neutro
"O produto chegou antes do prazo, porém com defeito. O pés estão de alturas diferentes e o cesto não fica alinhado.",Neutro
"Som muito baixo, encaixe no painel não fica bom em EcoSport, câmera de ré não tem boa imagem, o site fez a entrega muito rápido como sempre, nesta questão é nota dez !! Mas não gostei desta central, me arrependo de não ter preferido um aparelho comum da Pioneer.",Negativo
"Já temos um desses aqui em casa e realmente é MARAVILHOSO! As crianças se encantam muito ao ouvir ele falar! É excelente principalmente porque não tem o som muito alto, até porque se assim fosse assustaria as crianças. Som ideal e agradável. É ideal em tudo! Comprem sem medo de errar...",Positivo
